time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.pressure,field.variance
1680791218003731220,800399,1680791218003731220,,1680791218003731220,56.07655334472656,0.0
1680791218008276657,800400,1680791218008276657,,1680791218008276657,56.08013153076172,0.0
1680791218013048997,800401,1680791218013048997,,1680791218013048997,56.08146667480469,0.0
1680791218018508834,800402,1680791218018508834,,1680791218018508834,56.081336975097656,0.0
1680791218023231251,800403,1680791218023231251,,1680791218023231251,56.08056640625,0.0
1680791218028042154,800404,1680791218028042154,,1680791218028042154,56.081390380859375,0.0
1680791218033563719,800405,1680791218033563719,,1680791218033563719,56.08049011230469,0.0
1680791218038279538,800406,1680791218038279538,,1680791218038279538,56.080467224121094,0.0
1680791218043048371,800407,1680791218043048371,,1680791218043048371,56.07861328125,0.0
1680791218048549147,800408,1680791218048549147,,1680791218048549147,56.08134460449219,0.0
1680791218053198874,800409,1680791218053198874,,1680791218053198874,56.08116912841797,0.0
1680791218058003383,800410,1680791218058003383,,1680791218058003383,56.08173370361328,0.0
1680791218063484835,800411,1680791218063484835,,1680791218063484835,56.08164978027344,0.0
1680791218068183489,800412,1680791218068183489,,1680791218068183489,56.08209228515625,0.0
1680791218073070098,800413,1680791218073070098,,1680791218073070098,56.08374786376953,0.0
1680791218078558909,800414,1680791218078558909,,1680791218078558909,56.08345031738281,0.0
1680791218083238449,800415,1680791218083238449,,1680791218083238449,56.078102111816406,0.0
1680791218088044265,800416,1680791218088044265,,1680791218088044265,56.079315185546875,0.0
1680791218093512477,800417,1680791218093512477,,1680791218093512477,56.07787322998047,0.0
1680791218098212656,800418,1680791218098212656,,1680791218098212656,56.077613830566406,0.0
1680791218103004715,800419,1680791218103004715,,1680791218103004715,56.07966613769531,0.0
1680791218108523606,800420,1680791218108523606,,1680791218108523606,56.08177185058594,0.0
1680791218113226035,800421,1680791218113226035,,1680791218113226035,56.08167266845703,0.0
1680791218118004471,800422,1680791218118004471,,1680791218118004471,56.077964782714844,0.0
1680791218123525426,800423,1680791218123525426,,1680791218123525426,56.079490661621094,0.0
1680791218128227653,800424,1680791218128227653,,1680791218128227653,56.081260681152344,0.0
1680791218133024615,800425,1680791218133024615,,1680791218133024615,56.08140563964844,0.0
1680791218138513235,800426,1680791218138513235,,1680791218138513235,56.082130432128906,0.0
1680791218143176490,800427,1680791218143176490,,1680791218143176490,56.08051300048828,0.0
1680791218148027239,800428,1680791218148027239,,1680791218148027239,56.08406066894531,0.0
1680791218153520441,800429,1680791218153520441,,1680791218153520441,56.08155822753906,0.0
1680791218158420468,800430,1680791218158420468,,1680791218158420468,56.082489013671875,0.0
1680791218163016246,800431,1680791218163016246,,1680791218163016246,56.082115173339844,0.0
1680791218168481192,800432,1680791218168481192,,1680791218168481192,56.08314514160156,0.0
1680791218173196005,800433,1680791218173196005,,1680791218173196005,56.083404541015625,0.0
1680791218178695763,800434,1680791218178695763,,1680791218178695763,56.080963134765625,0.0
